flightNumber,airline,departureCity,arrivalCity,departureTime,totalSeats,availableSeats,price
U2564,easyJet,Paris,Berlin,2026-06-15 13:15,80,80,206.77
AF588,Air France,London,Tokyo,2026-06-15 16:30,180,137,802.09
U2488,easyJet,Berlin,London,2026-06-15 17:30,180,73,303.10
VS260,Virgin Atlantic,Edinburgh,Birmingham,2026-06-15 18:45,180,74,142.72
U2409,easyJet,Edinburgh,Amsterdam,2026-06-15 22:15,80,70,153.09
FR250,Ryanair,Paris,Edinburgh,2026-06-16 06:15,220,217,316.31
AF132,Air France,Manchester,Dubai,2026-06-16 07:15,220,6,489.60
AF444,Air France,Dubai,New York,2026-06-16 20:30,120,45,459.10
U2658,easyJet,Dublin,Toronto,2026-06-17 16:15,80,39,188.85
KL926,KLM,Tokyo,Amsterdam,2026-06-17 19:00,180,20,313.82
EK523,Emirates,Tokyo,London,2026-06-18 11:30,180,160,723.58
KL345,KLM,Manchester,Amsterdam,2026-06-18 12:00,180,17,109.70
LH158,Lufthansa,Rome,London,2026-06-18 20:15,220,20,103.08
BA334,British Airways,Toronto,New York,2026-06-19 06:30,120,35,392.51
VS709,Virgin Atlantic,Tokyo,Birmingham,2026-06-19 12:45,220,63,421.93
KL550,KLM,New York,Edinburgh,2026-06-19 14:15,150,138,513.03
AF710,Air France,New York,Birmingham,2026-06-19 17:45,180,135,707.53
KL126,KLM,Toronto,Amsterdam,2026-06-20 12:00,300,137,319.90
FR950,Ryanair,Amsterdam,Tokyo,2026-06-20 13:45,180,145,146.09
BA734,British Airways,Dubai,Dublin,2026-06-20 18:30,120,85,304.98
AF358,Air France,Singapore,Tokyo,2026-06-20 20:00,80,44,799.41
KL779,KLM,London,New York,2026-06-21 09:30,80,70,419.26
BA724,British Airways,Berlin,Paris,2026-06-21 11:15,80,20,150.87
LH919,Lufthansa,London,Berlin,2026-06-21 12:15,180,35,133.75
BA868,British Airways,New York,Toronto,2026-06-21 18:15,300,265,455.53
FR968,Ryanair,Madrid,London,2026-06-22 19:15,300,271,274.33
FR535,Ryanair,New York,Singapore,2026-06-22 22:15,150,36,738.58
BA796,British Airways,Paris,Rome,2026-06-22 22:30,150,28,266.78
U2344,easyJet,London,Dubai,2026-06-23 20:00,120,59,688.38
FR652,Ryanair,New York,Madrid,2026-06-23 20:15,180,48,270.46
